freq|lang|isSpecial|baseTerm|hasPlural|hasPossessive|baseFreq|pluralFreq|possessiveFreq
66955|EN|0|the|||66955|0|0
35029|EN|0|of|||35029|0|0
25066|EN|0|is|||25066|0|0
23116|EN|0|to|||23116|0|0
20614|EN|0|a|||20614|0|0
19369|EN|0|in|||19369|0|0
14378|EN|0|one|s|'s|12598|950|830
13382|EN|0|that||'s|12820|0|562
12991|EN|0|and|||12991|0|0
12840|EN|0|with|||12840|0|0
12826|EN|0|he||'s|12587|0|239
10152|EN|0|this|||10152|0|0
9386|EN|0|for|||9386|0|0
9331|EN|0|it|s|'s|6462|1756|1113
9301|EN|0|as|||9301|0|0
8544|EN|0|i|||8544|0|0
8052|EN|0|there||'s|7853|0|199
7871|EN|0|not|||7871|0|0
7090|EN|0|monk|s|'s|3445|3529|116
6710|EN|0|on|||6710|0|0
6529|EN|0|from|||6529|0|0
6500|EN|0|or|||6500|0|0
6014|EN|0|are|||6014|0|0
5940|EN|0|be|||5940|0|0
5884|EN|0|hi|s||0|5884|0
5536|EN|0|what||'s|5351|0|185
5426|EN|0|who||'s|5371|0|55
5222|EN|0|blessed|||5222|0|0
5163|EN|0|you|||5163|0|0
5108|EN|0|by|||5108|0|0
4449|EN|0|ha|s||0|4449|0
4442|EN|0|when|||4442|0|0
3639|PI|0|dhamma|s|'s|3212|403|24
3606|EN|0|an|||3606|0|0
3476|EN|0|have|||3476|0|0
3462|EN|0|then|||3462|0|0
3413|EN|0|wa|s||0|3413|0
3382|EN|0|mind|s|'s|3237|143|2
3326|EN|0|said|||3326|0|0
3287|EN|0|will|s||3263|24|0
3254|EN|0|having|||3254|0|0
3232|EN|0|him|||3232|0|0
3069|EN|0|would|||3069|0|0
2921|EN|0|they|||2921|0|0
2789|EN|0|if|||2789|0|0
2782|EN|0|my|||2782|0|0
2758|EN|0|being|s|'s|1384|1366|8
2698|EN|0|come|s||1741|957|0
2685|EN|0|at|||2685|0|0
2642|EN|0|these|||2642|0|0
2636|EN|0|no|||2636|0|0
2530|EN|0|right|s||2526|4|0
2491|EN|0|way|s||2310|181|0
2490|EN|0|body||'s|2486|0|4
2408|EN|0|self||'s|2407|0|1
2340|EN|0|where|||2340|0|0
2262|EN|0|me|||2262|0|0
2233|EN|0|so|||2233|0|0
2231|EN|0|their|s||2221|10|0
2206|EN|0|life||'s|2204|0|2
2158|EN|0|feeling|s||1750|408|0
2128|EN|0|how|||2128|0|0
2103|EN|0|venerable|s||2099|4|0
2088|EN|0|but|||2088|0|0
2084|EN|0|should|||2084|0|0
2076|EN|0|perception|s||1802|274|0
2061|EN|0|which|||2061|0|0
2038|EN|0|person|s|'s|1847|55|136
2034|EN|0|now||'s|2033|0|1
1983|EN|0|those|||1983|0|0
1982|EN|0|form|s||1339|643|0
1979|EN|0|were|||1979|0|0
1943|EN|0|brahman|s|'s|958|981|4
1943|EN|0|case|s||1922|21|0
1893|EN|0|world|s|'s|1836|46|11
1871|EN|0|pleasure|s||1709|162|0
1859|EN|0|cessation|s||1855|4|0
1796|EN|0|all|||1796|0|0
1767|EN|0|through|||1767|0|0
1763|EN|0|after|||1763|0|0
1752|EN|0|lord|s||1746|6|0
1737|EN|0|contemplative|s|'s|885|828|24
1716|EN|0|consciousness|||1716|0|0
1706|EN|0|death|s|'s|1697|1|8
1698|EN|0|them|||1698|0|0
1677|EN|0|do|||1677|0|0
1672|EN|0|such|||1672|0|0
1667|EN|0|noble|s||1653|14|0
1643|EN|0|doesn't|||1643|0|0
1640|EN|0|into|||1640|0|0
1620|EN|0|other|s|'s|843|763|14
1612|EN|0|well|||1612|0|0
1607|EN|0|say|s||1377|230|0
1604|EN|0|qualities|||1604|0|0
1578|EN|0|doe|s||0|1578|0
1565|EN|0|remain|s||456|1109|0
1523|EN|0|see|s||1042|481|0
1495|EN|0|without|||1495|0|0
1490|EN|0|stress||'s|1488|0|2
1466|EN|0|thought|s||1145|321|0
1454|EN|0|up|||1454|0|0
1449|EN|0|friend|s||911|538|0
1449|EN|0|great|||1449|0|0
1446|EN|0|out|||1446|0|0
1389|EN|0|thus|||1389|0|0
1375|EN|0|nor|||1375|0|0
1372|EN|0|pain|s||1233|139|0
1371|EN|0|down|||1371|0|0
1370|PI|0|deva|s|'s|289|1049|32
1352|EN|0|time|s||1246|106|0
1335|EN|0|discern|s||377|958|0
1321|EN|0|four|s||1315|6|0
1305|EN|0|don't|||1305|0|0
1304|EN|0|like|s||1245|59|0
1301|EN|0|view|s||867|434|0
1300|EN|0|any|||1300|0|0
1300|EN|0|here||'s|1299|0|1
1279|EN|0|good|s||1257|22|0
1252|PI|1|tathāgata|s|'s|1152|27|73
1237|EN|0|regard|s||1201|36|0
1215|EN|0|your|s||1134|81|0
1205|EN|0|himself|||1205|0|0
1190|EN|0|gone|||1190|0|0
1183|EN|0|know|s||827|356|0
1180|EN|0|five|s||1177|3|0
1174|PI|0|sutta|s||1152|22|0
1170|EN|0|fabrication|s||272|898|0
1168|EN|0|discernment|||1168|0|0
1156|EN|0|go|||1156|0|0
1146|EN|0|awareness|||1146|0|0
1129|EN|0|just|||1129|0|0
1119|EN|0|went|||1119|0|0
1091|EN|0|away|||1091|0|0
1083|EN|0|been|||1083|0|0
1078|EN|0|practice|s||879|199|0
1073|EN|0|three|s||1070|3|0
1072|EN|0|disciple|s||633|439|0
1065|EN|0|effluent|s||278|787|0
1039|EN|0|mindfulness|||1039|0|0
1034|EN|0|neither|||1034|0|0
1022|EN|0|am|||1022|0|0
1010|PI|0|gotama|s|'s|971|1|38
1008|EN|0|long|s||996|12|0
1002|PI|1|nikāya|||1002|0|0
1000|EN|0|man||'s|980|0|20
992|EN|0|action|s|'s|619|372|1
991|EN|0|knowledge|s||946|45|0
989|EN|0|king|s|'s|739|124|126
988|EN|0|heard|||988|0|0
973|EN|0|may|||973|0|0
963|EN|0|same|||963|0|0
958|EN|0|birth|s||905|53|0
958|EN|0|non|||958|0|0
950|EN|0|passion|s||927|23|0
946|EN|0|occasion|s||936|10|0
942|EN|0|concentration|s||938|4|0
941|EN|0|craving|s||924|17|0
940|EN|0|contact|s||896|44|0
931|PI|1|ānanda||'s|924|0|7
930|EN|0|rightly|||930|0|0
928|EN|0|master|s|'s|893|33|2
924|EN|0|even|||924|0|0
919|EN|0|evil|s|'s|914|4|1
917|EN|0|whatever||'s|913|0|4
914|EN|0|we|||914|0|0
906|EN|0|near|||906|0|0
904|EN|0|holy|||904|0|0
904|EN|0|path|s||894|10|0
901|EN|0|clinging|s||880|21|0
898|EN|0|further|||898|0|0
893|EN|0|eye|s||712|181|0
888|EN|0|mental|||888|0|0
887|EN|0|side|s||821|66|0
883|EN|0|many|||883|0|0
882|EN|0|born|||882|0|0
877|EN|0|inconstant|||877|0|0
868|EN|0|endowed|||868|0|0
863|EN|0|becoming|s|'s|838|23|2
862|EN|0|sensuality||'s|860|0|2
859|EN|0|made|||859|0|0
853|EN|0|exist|s||543|310|0
853|EN|0|people||'s|848|0|5
834|EN|0|another||'s|821|0|13
834|EN|0|release|s||828|6|0
828|EN|0|called|||828|0|0
828|EN|0|had|||828|0|0
824|EN|0|condition|s||646|178|0
823|EN|0|thing|s||252|571|0
818|EN|0|arise|s||361|457|0
814|EN|0|arrival|||814|0|0
810|EN|0|sitting|||810|0|0
809|EN|0|why|||809|0|0
803|EN|0|abandoning|||803|0|0
798|EN|0|seeing|||798|0|0
796|EN|0|abandoned|||796|0|0
794|EN|0|desire|s||705|89|0
793|EN|0|water|s|'s|766|26|1
782|EN|0|because|||782|0|0
777|EN|0|food|s||750|27|0
776|EN|0|released|||776|0|0
773|EN|0|leading|||773|0|0
767|EN|0|awakened|||767|0|0
766|EN|0|knowing|||766|0|0
755|EN|0|free|s||754|1|0
754|EN|0|forth|||754|0|0
754|EN|0|sense|s||588|166|0
751|EN|0|about|||751|0|0
751|EN|0|dimension|s||723|28|0
750|EN|0|awakening|||750|0|0
742|EN|0|human|||742|0|0
727|EN|0|householder|s|'s|458|199|70
719|EN|0|sat|||719|0|0
715|EN|0|over|||715|0|0
713|PI|1|jhāna|s||660|53|0
707|EN|0|live|s||359|348|0
706|EN|0|known|||706|0|0
705|EN|0|factor|s||454|251|0
701|EN|0|robe|s||404|297|0
698|EN|0|make|s||452|246|0
697|EN|0|requisite|s||553|144|0
696|EN|0|enter|s||200|496|0
695|EN|0|origination|||695|0|0
694|EN|0|virtue|s||639|55|0
685|EN|0|ending|||685|0|0
682|EN|0|done|||682|0|0
681|PI|1|saṅgha|s||678|3|0
677|EN|0|both|||677|0|0
677|EN|0|dwell|s||357|320|0
671|EN|0|day|s|'s|492|133|46
668|EN|0|too|||668|0|0
662|EN|0|teacher|s|'s|538|52|72
659|EN|0|yet|||659|0|0
657|EN|0|future|s||656|1|0
653|EN|0|staying|||653|0|0
641|EN|0|living|||641|0|0
639|EN|0|gain|s||387|252|0
636|EN|0|think|s||555|81|0
633|EN|0|become|s||395|238|0
630|EN|0|cause|s||572|58|0
629|EN|0|unskillful|||629|0|0
625|EN|0|two|s||621|4|0
621|EN|0|skillful|||621|0|0
616|EN|0|six|||616|0|0
615|EN|0|can|||615|0|0
609|EN|0|dwelling|s||474|135|0
609|EN|0|off|||609|0|0
607|PI|1|sāvatthī|||607|0|0
605|EN|0|word|s||70|535|0
604|EN|0|first|||604|0|0
603|PI|1|sāriputta||'s|567|0|36
601|EN|0|arisen|||601|0|0
599|EN|0|rapture|||599|0|0
596|EN|0|speak|s||361|235|0
595|EN|0|some|||595|0|0
593|EN|0|cosmos|||593|0|0
592|EN|0|certain|||592|0|0
581|EN|0|train|s||281|300|0
572|EN|0|only|||572|0|0
569|EN|0|end|s||556|13|0
567|EN|0|wrong|s||565|2|0
564|EN|0|state|s||464|100|0
561|EN|0|among|||561|0|0
560|EN|0|mindful|||560|0|0
560|EN|0|unbinding|||560|0|0
557|EN|0|alms|||557|0|0
557|EN|0|speech|||557|0|0
555|PI|1|brahmā|s|'s|404|96|55
554|EN|0|individual|s||441|113|0
553|EN|0|tell|s||524|29|0
553|EN|0|whose|||553|0|0
550|EN|0|attained|||550|0|0
547|EN|0|aversion|s||546|1|0
547|EN|0|more|||547|0|0
546|EN|0|delight|s||421|125|0
545|EN|0|developed|||545|0|0
541|EN|0|past|s||540|1|0
541|EN|0|training|s||521|20|0
540|EN|0|might|||540|0|0
540|EN|0|nothing||'s|539|0|1
535|EN|0|again|||535|0|0
534|EN|0|property|||534|0|0
532|EN|0|subject|s||526|6|0
527|EN|0|passing|||527|0|0
527|EN|0|taking|||527|0|0
525|EN|0|seven|s||522|3|0
524|EN|0|very|||524|0|0
519|EN|0|given|||519|0|0
517|EN|0|take|s||333|184|0
516|EN|0|distress|||516|0|0
512|EN|0|intellect||'s|509|0|3
507|EN|0|true|||507|0|0
506|EN|0|delusion|s|'s|503|2|1
504|EN|0|conduct|s||485|19|0
502|EN|0|asked|||502|0|0
495|EN|0|ear|s||460|35|0
490|EN|0|consummate|||490|0|0
490|EN|0|seen|||490|0|0
487|EN|0|second|s||486|1|0
484|EN|0|far|||484|0|0
483|EN|0|aging|||483|0|0
482|EN|0|lead|s||255|227|0
482|EN|0|own|||482|0|0
479|EN|0|fruit|s||392|87|0
479|EN|0|reference|||479|0|0
474|EN|0|conviction|s|'s|471|2|1
471|EN|0|seclusion|||471|0|0
470|EN|0|thinking|||470|0|0
468|EN|0|give|s||255|213|0
466|EN|0|bodily|||466|0|0
466|EN|0|ye|s||0|466|0
464|EN|0|forest|s|'s|449|14|1
464|PI|1|saṁyutta|||464|0|0
463|EN|0|faculty|||463|0|0
460|EN|0|son|s|'s|360|95|5
459|PI|1|māra|s|'s|285|74|100
458|EN|0|lower|||458|0|0
458|EN|0|suffering|s||453|5|0
457|EN|0|bowed|||457|0|0
457|EN|0|sensual|||457|0|0
456|EN|0|arising|s||455|1|0
450|EN|0|equanimity|||450|0|0
450|EN|0|going|||450|0|0
450|EN|0|worthy|||450|0|0
448|EN|0|grow|s||210|238|0
444|EN|0|while|||444|0|0
441|EN|0|get|s||299|142|0
440|EN|0|aggregate|s||254|186|0
440|EN|0|line|s||356|84|0
440|EN|0|result|s||290|150|0
436|EN|0|alert|||436|0|0
435|EN|0|dependent|s||432|3|0
434|EN|0|third|||434|0|0
433|EN|0|name|s||423|10|0
432|EN|0|directed|||432|0|0
429|EN|0|sir|s||364|65|0
428|EN|0|grove|s||423|5|0
428|EN|0|home|s||382|46|0
427|EN|0|ignorance|||427|0|0
426|EN|0|sound|s||170|256|0
426|EN|0|standing|||426|0|0
424|EN|0|her|||424|0|0
422|EN|0|coming|||422|0|0
422|EN|0|effort|s||402|20|0
422|EN|0|truth|s||352|70|0
421|EN|0|develop|s||198|223|0
420|PI|1|aṅguttara|||420|0|0
419|EN|0|question|s||303|116|0
